model_id,provider,type,lifecycle,input_type,output_type,pricing
cyfragovpl-pllum-12b-chat-2412,Cyfra Gov,Text generation,,,,
cyfragovpl-pllum-12b-nc-chat-2412,Cyfra Gov,Text generation,,,,
cyfragovpl-pllum-8x7b-nc-chat-2412,Cyfra Gov,Text generation,,,,
d4data-biomedical-ner-all,D4Data,Token classification,,,,
dangvantuan-sentence-camembert-base,HuggingFace,Sentence similarity,,,,
danielheinz-e5-base-sts-en-de,Intel,Feature extraction,,,,
databricks-dbrx-base,Databricks,Text generation,,,,
databricks-dbrx-instruct,Databricks,Chat completion,,,,
databricks-dolly-v2-12b,Databricks,Text generation,,,,
datalab-to-chandra,DataLab,Chat completion,,,,
datalab-to-chandra-ocr-2,DataLab,Chat completion,,,,
datarusai-datarus-r1-14b-preview,DataRus,Chat completion,,,,
davebulaval-meaningbert,HuggingFace,Text classification,,,,
davidau-llama3.3-8b-instruct-thinking-claude-4.5-opus-high-reasoning,Anthropic,Chat completion,,,,
davidau-qwen3.5-40b-claude-4.5-opus-high-reasoning-thinking,Anthropic,Chat completion,,,,
davidkim205-rhea-72b-v0.5,HuggingFace,Text generation,,,,
davinci-002,Azure OpenAI,Completions,,,,
davlan-distilbert-base-multilingual-cased-ner-hrl,HuggingFace,Token classification,,,,
dbmdz-bert-base-cased-finetuned-conll03-english,HuggingFace,Token classification,,,,
dbmdz-bert-base-german-uncased,HuggingFace,Fill mask,,,,
dbmdz-bert-base-italian-xxl-cased,HuggingFace,Fill mask,,,,
dbmdz-bert-large-cased-finetuned-conll03-english,HuggingFace,Token classification,,,,
deci-decidiffusion-v1-0,Deci AI,Text to image,,,,
deepcogito-cogito-v1-preview-llama-3b,Meta,Text generation,,,,
deepcogito-cogito-v1-preview-llama-70b,Meta,Text generation,,,,
deepcogito-cogito-v1-preview-llama-8b,Meta,Text generation,,,,
deepcogito-cogito-v1-preview-qwen-14b,Qwen (Alibaba),Text generation,,,,
deepcogito-cogito-v1-preview-qwen-32b,Qwen (Alibaba),Text generation,,,,
deepmount00-llama-3-8b-ita,Meta,Text generation,,,,
deepseek-ai-DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,Chat completion,,,,
deepseek-ai-DeepSeek-R1-Distill-Qwen-14B,DeepSeek,Chat completion,,,,
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,DeepSeek,Chat completion,,,,
deepseek-ai-DeepSeek-V3-0324,DeepSeek,Chat completion,,,,
deepseek-ai-DeepSeek-V3.1,DeepSeek,Chat completion,,,,
deepseek-ai-DeepSeek-V3.2,DeepSeek,Chat completion,,,,
deepseek-ai-DeepSeek-V3.2-Speciale,DeepSeek,Chat completion,,,,
deepset-bert-base-cased-squad2,HuggingFace,Question answering,,,,
deepset-bert-large-uncased-whole-word-masking-squad2,HuggingFace,Question answering,,,,
deepset-minilm-uncased-squad2,deepset,Question answering,,,,
deepset-roberta-base-squad2,HuggingFace,Question answering,,,,
deepset-roberta-large-squad2,HuggingFace,Question answering,,,,
deepset-tinyroberta-squad2,HuggingFace,Question answering,,,,
deepvk-user-bge-m3,BAAI,Sentence similarity,,,,
defog-sqlcoder-7b-2,HuggingFace,Text generation,,,,
descript-dac-44khz,HuggingFace,Feature extraction,,,,
dicta-il-dictabert,HuggingFace,Fill mask,,,,
dicta-il-dictalm2.0,Dicta,Text generation,,,,
distil-labs-distil-home-assistant-functiongemma,Google,Chat completion,,,,
distilbert-base-cased,HuggingFace,Fill mask,,,,
distilbert-base-cased-distilled-squad,HuggingFace,Question answering,,,,
distilbert-base-uncased,HuggingFace,Fill mask,,,,
distilbert-base-uncased-distilled-squad,HuggingFace,Question answering,,,,
distilbert-base-uncased-finetuned-sst-2-english,HuggingFace,Text classification,,,,
distilbert-distilbert-base-cased,HuggingFace,Fill mask,,,,
distilbert-distilbert-base-german-cased,HuggingFace,Fill mask,,,,
distilbert-distilbert-base-multilingual-cased,HuggingFace,Fill mask,,,,
distilbert-distilbert-base-uncased,HuggingFace,Fill mask,,,,
distilbert-distilbert-base-uncased-distilled-squad,HuggingFace,Question answering,,,,
distilbert-distilbert-base-uncased-finetuned-sst-2-english,HuggingFace,Text classification,,,,
distilbert-distilgpt2,HuggingFace,Text generation,,,,
distilbert-distilroberta-base,HuggingFace,Fill mask,,,,
distilgpt2,HuggingFace,Text generation,,,,
distilroberta-base,HuggingFace,Fill mask,,,,
dity-bi-encoder-russian-msmarco,HuggingFace,Sentence similarity,,,,
dongjin-kr-ko-reranker,HuggingFace,Text classification,,,,
dphn-dolphin-mistral-24b-venice-edition,Mistral AI,Chat completion,,,,
ds-archive-l3.3-70b-magnum-v4-se-cirrus-x1-modelstock,DS Archive,Text generation,,,,
ds-archive-lzlv-limarpv3-l2-70b,DS Archive,Text generation,,,,
dslim-bert-base-ner,HuggingFace,Token classification,,,,
dslim-bert-base-ner-uncased,HuggingFace,Token classification,,,,
dslim-bert-large-ner,HuggingFace,Token classification,,,,
earth2studio-fcn3,NVIDIA,Weather forecasting,,,,
earth2studio-fcn3-stormscope,NVIDIA,Weather forecasting,,,,
efficient-large-model-gemma-2-2b-it,Google,Text generation,,,,
eleutherai-gpt-neox-20b,Azure OpenAI,Text generation,,,,
eleutherai-pythia-14m-deduped,EleutherAI,Text generation,,,,
eleutherai-pythia-160m,EleutherAI,Text generation,,,,
eleutherai-pythia-160m-deduped,EleutherAI,Text generation,,,,
eleutherai-pythia-1b,EleutherAI,Text generation,,,,
eleutherai-pythia-1b-deduped,EleutherAI,Text generation,,,,
eleutherai-pythia-31m-deduped,EleutherAI,Text generation,,,,
eleutherai-pythia-410m-deduped,EleutherAI,Text generation,,,,
eleutherai-pythia-70m-deduped,EleutherAI,Text generation,,,,
elyza-llama-3-elyza-jp-8b,Meta,Text generation,,,,
embed-v-4-0,Cohere,"Embeddings,Summarization",,,,
eo-os-object-detection,HuggingFace,Image analysis,,,,
equall-saul-7b-instruct-v1,Equall,Text generation,,,,
essentialai-rnj-1-instruct,Essential AI,Chat completion,,,,
exscientia-igt5-unpaired,Google,Text generation,,,,
facebook-bart-base,Meta,Embeddings,,,,
facebook-bart-large-cnn,Meta,Text summarization,,,,
facebook-bart-large-mnli,Meta,Zero shot classification,,,,
facebook-blenderbot-400m-distill,Meta,Conversational,,,,
facebook-deit-base-patch16-224,Meta,Image classification,,,,
facebook-detr-resnet-101,Meta,Object detection,,,,
facebook-detr-resnet-101-dc5,Meta,Object detection,,,,
facebook-detr-resnet-50,Meta,Object detection,,,,
facebook-dinov2-base-imagenet1k-1-layer,Meta,Image classification,,,,
facebook-dinov2-small-imagenet1k-1-layer,Meta,Image classification,,,,
facebook-encodec-24khz,Meta,Feature extraction,,,,
facebook-encodec-32khz,Meta,Feature extraction,,,,
facebook-esm2-t6-8m-ur50d,Meta,Fill mask,,,,
facebook-mask2former-swin-base-coco-panoptic,Meta,Image segmentation,,,,
facebook-mask2former-swin-large-ade-semantic,Meta,Image segmentation,,,,
facebook-mask2former-swin-large-cityscapes-panoptic,Meta,Image segmentation,,,,
facebook-mask2former-swin-large-mapillary-vistas-semantic,Meta,Image segmentation,,,,
facebook-mask2former-swin-tiny-cityscapes-semantic,Meta,Image segmentation,,,,
facebook-mask2former-swin-tiny-coco-instance,Meta,Image segmentation,,,,
facebook-mbart-large-50-many-to-many-mmt,Meta,Translation,,,,
facebook-mms-1b-all,Meta,Automatic speech recognition,,,,
facebook-nllb-200-distilled-600m,Meta,Translation,,,,
facebook-s2t-small-librispeech-asr,Meta,Automatic speech recognition,,,,
facebook-sam-vit-base,Meta,Image segmentation,,,,
facebook-sam-vit-huge,Meta,Image segmentation,,,,
facebook-sam-vit-large,Meta,Image segmentation,,,,
facebook-sam3,Meta,Mask generation,,,,
facebook-wav2vec2-base-960h,Meta,Automatic speech recognition,,,,
facebook-wmt19-de-en,Meta,Translation,,,,
facebook-xlm-roberta-xl,HuggingFace,Fill mask,,,,
facebookai-roberta-base,HuggingFace,Fill mask,,,,
facebookai-roberta-large,HuggingFace,Fill mask,,,,
facebookai-roberta-large-mnli,HuggingFace,Text classification,,,,
facebookai-xlm-roberta-base,HuggingFace,Fill mask,,,,
facebookai-xlm-roberta-large,HuggingFace,Fill mask,,,,
facebookai-xlm-roberta-large-finetuned-conll03-english,HuggingFace,Token classification,,,,
falconsai-nsfw-image-detection,TII,Image classification,,,,
ff670-openbuddy-llemma-34b-v13.2,Microsoft,Text generation,,,,
final-bench-darwin-27b-opus,Final Bench,Chat completion,,,,
final-bench-darwin-9b-opus,Final Bench,Chat completion,,,,
financial-reports-analysis,Microsoft,Chat completion,,,,
financial-reports-analysis-v2,Microsoft,Chat completion,,,,
finiteautomata-bertweet-base-sentiment-analysis,HuggingFace,Text classification,,,,
finlang-finance-embeddings-investopedia,HuggingFace,Sentence similarity,,,,
flax-community-dansk-gpt-wiki,Azure OpenAI,Text generation,,,,
foreverlasting1202-questa-nemotron-1.5b,NVIDIA,Chat completion,,,,
fortytwo-network-strand-rust-coder-14b-v1,FortyTwo,Chat completion,,,,
fractalairesearch-fathom-r1-14b,Fractal AI,Text generation,,,,
fractalairesearch-fathom-search-4b,Fractal AI,Chat completion,,,,
freedomintelligence-acegpt-v1.5-13b,Azure OpenAI,Text generation,,,,
ftw-prue-efnet-b7-ccby,FTW,Image classification,,,,
futurema-eva-4b-v2,Microsoft,Chat completion,,,,
futurema-qwen3-4b-evasion,Qwen (Alibaba),Chat completion,,,,
fxmarty-tiny-dummy-qwen2,Qwen (Alibaba),Text generation,,,,
gadflyii-glm-4.7-flash-nvfp4,Zhipu AI,Chat completion,,,,
gair-reasoneval-7b,GAIR,Text classification,,,,
gaunernst-bert-l6-h768-uncased,HuggingFace,Fill mask,,,,
gemstone-models-gemstone-1024x28,Gemstone,Text generation,,,,
gemstone-models-gemstone-1280x15,Gemstone,Text generation,,,,
gemstone-models-gemstone-1280x36,Gemstone,Text generation,,,,
gemstone-models-gemstone-1536x50,Gemstone,Text generation,,,,
gemstone-models-gemstone-1792x18,Gemstone,Text generation,,,,
gemstone-models-gemstone-1792x7,Gemstone,Text generation,,,,
gemstone-models-gemstone-256x71,Gemstone,Text generation,,,,
gemstone-models-gemstone-3072x12,Gemstone,Text generation,,,,
gemstone-models-gemstone-384x13,Gemstone,Text generation,,,,
gemstone-models-gemstone-384x36,Gemstone,Text generation,,,,
gemstone-models-gemstone-512x11,Gemstone,Text generation,,,,
gemstone-models-gemstone-512x12,Gemstone,Text generation,,,,
gemstone-models-gemstone-512x13,Gemstone,Text generation,,,,
gemstone-models-gemstone-512x16,Gemstone,Text generation,,,,
gemstone-models-gemstone-768x3,Gemstone,Text generation,,,,
gemstone-models-gemstone-768x45,Gemstone,Text generation,,,,
genezc-minichat-1.5-3b,HuggingFace,Text generation,,,,
ghost-x-ghost-8b-beta-1608,Ghost-X,Text generation,,,,
gilf-french-camembert-postag-model,HuggingFace,Token classification,,,,
goedel-lm-goedel-prover-v2-32b,HuggingFace,Chat completion,,,,
gokaygokay-flux-prompt-enhance,Black Forest Labs,Text to text generation,,,,
google-bert-bert-base-cased-finetuned-mrpc,Google,Fill mask,,,,
google-bert-bert-base-chinese,Google,Fill mask,,,,
google-bert-bert-base-german-cased,Google,Fill mask,,,,
google-bert-bert-base-multilingual-cased,Google,Fill mask,,,,
google-bert-bert-base-uncased,Google,Fill mask,,,,
google-bert-bert-large-cased,Google,Fill mask,,,,
google-bert-bert-large-cased-whole-word-masking-finetuned-squad,Google,Question answering,,,,
google-bert-bert-large-uncased,Google,Fill mask,,,,
google-bert-bert-large-uncased-whole-word-masking,Google,Fill mask,,,,
google-bert-bert-large-uncased-whole-word-masking-finetuned-squad,Google,Question answering,,,,
google-canine-s,Google,Feature extraction,,,,
google-flan-t5-base,Google,Text generation,,,,
google-flan-t5-large,Google,Text generation,,,,
google-flan-t5-small,Google,Text generation,,,,
google-flan-t5-xl,Google,Text generation,,,,
google-flan-t5-xxl,Google,Text generation,,,,
google-gemma-4-26b-a4b-it,Google,Chat completion,,,,
google-gemma-4-31b-it,Google,Chat completion,,,,
google-gemma-4-e2b-it,Google,Chat completion,,,,
google-gemma-4-e4b-it,Google,Chat completion,,,,
google-t5-t5-base,Google,Translation,,,,
google-t5-t5-large,Google,Translation,,,,
google-t5-t5-small,Google,Translation,,,,
google-tapas-base-finetuned-wtq,Google,Table question answering,,,,
google-tapas-large-finetuned-wtq,Google,Table question answering,,,,
google-tapas-small-finetuned-wtq,Google,Table question answering,,,,
google-vit-base-patch16-224,Google,Image classification,,,,
google-vit-base-patch32-384,Google,Image classification,,,,
google-vit-hybrid-base-bit-384,Google,Image classification,,,,
gottbert-gottbert-base-last,HuggingFace,Fill mask,,,,
gpt-35-turbo,Azure OpenAI,Chat completions,,,,
gpt-35-turbo-16k,Azure OpenAI,Chat completions,,,,
gpt-35-turbo-instruct,Azure OpenAI,Chat completions,,,,
gpt-4.1,Azure OpenAI,"Chat completion,Responses",,,,
gpt-4.1-mini,Azure OpenAI,"Chat completion,Responses",,,,
gpt-4.1-nano,Azure OpenAI,"Chat completion,Responses",,,,
gpt-4o,Azure OpenAI,"Chat completion,Responses",,,,
gpt-4o-mini,Azure OpenAI,"Chat completion,Responses",,,,
gpt-4o-mini-transcribe,Azure OpenAI,Speech to text,,,,
gpt-4o-mini-tts,Azure OpenAI,Text to speech,,,,
gpt-4o-transcribe,Azure OpenAI,Speech to text,,,,
gpt-4o-transcribe-diarize,Azure OpenAI,Speech to text,,,,
gpt-5,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5-chat,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5-codex,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5-mini,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5-nano,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5-pro,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.1,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.1-chat,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.1-codex,Azure OpenAI,Responses,,,,
gpt-5.1-codex-max,Azure OpenAI,Responses,,,,
gpt-5.1-codex-mini,Azure OpenAI,Responses,,,,
gpt-5.2,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.2-chat,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.2-codex,Azure OpenAI,Responses,,,,
gpt-5.3-chat,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.3-codex,Azure OpenAI,Responses,,,,
gpt-5.4,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.4-mini,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.4-nano,Azure OpenAI,"Chat completion,Responses",,,,
gpt-5.4-pro,Azure OpenAI,Responses,,,,
gpt-5.5,Azure OpenAI,"Chat completion,Responses",,,,
gpt-audio,Azure OpenAI,Audio generation,,,,
gpt-audio-1.5,Azure OpenAI,Audio generation,,,,
gpt-audio-mini,Azure OpenAI,Audio generation,,,,
gpt-chat-latest,Azure OpenAI,"Chat completion,Responses",,,,
gpt-image-1-mini,Azure OpenAI,Text to image,,,,
gpt-image-1.5,Azure OpenAI,"Text to image,Image to image",,,,
gpt-image-2,Azure OpenAI,"Text to image,Image to image",,,,
gpt-oss-120B,Azure OpenAI,Chat completion,,,,
gpt-oss-120b,Azure OpenAI,Chat completion,,,,
gpt-oss-20b,Azure OpenAI,Chat completion,,,,
gpt-oss-safeguard-120b,Azure OpenAI,Chat completion,,,,
gpt-oss-safeguard-20b,Azure OpenAI,Chat completion,,,,
gpt-realtime,Azure OpenAI,Audio generation,,,,
gpt-realtime-1.5,Azure OpenAI,Audio generation,,,,
gpt-realtime-2,Azure OpenAI,Audio generation,,,,
gpt-realtime-mini,Azure OpenAI,Audio generation,,,,
gpt-realtime-translate,Azure OpenAI,Speech translation,,,,
gpt-realtime-whisper,Azure OpenAI,Automatic speech recognition,,,,
gpt2,HuggingFace,Text generation,,,,
gpt2-large,HuggingFace,Text generation,,,,
gpt2-medium,HuggingFace,Text generation,,,,
grabbe-gymnasium-detmold-grabbe-ai,HuggingFace,Text generation,,,,
gradientai-llama-3-8b-instruct-262k,Meta,Text generation,,,,
gradientai-llama-3-8b-instruct-gradient-1048k,Meta,Text generation,,,,
gretel,Gretel,Chat completion,,,,
grok-3,xAI,Chat completion,,,,
grok-3-mini,xAI,Chat completion,,,,
grok-4,xAI,Chat completion,,,,
grok-4-1-fast-non-reasoning,xAI,Chat completion,,,,
grok-4-1-fast-reasoning,xAI,Chat completion,,,,
grok-4-20-non-reasoning,xAI,Chat completion,,,,
grok-4-20-reasoning,xAI,Chat completion,,,,
grok-4.3,xAI,Chat completion,,,,
grok-code-fast-1,xAI,Chat completion,,,,
gronlp-bert-base-dutch-cased,HuggingFace,Fill mask,,,,
groq-llama-3-groq-70b-tool-use,Meta,Text generation,,,,
groq-llama-3-groq-8b-tool-use,Meta,Text generation,,,,
h2oai-h2o-danube3-4b-chat,H2O.ai,Text generation,,,,
hcompany-holo1.5-7b,Azure OpenAI,Chat completion,,,,
hcompany-holo2-4b,H Company,Chat completion,,,,
hcompany-holo2-8b,H Company,Chat completion,,,,
helsinki-nlp-opus-mt-de-en,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-en-de,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-en-es,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-en-zh,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-tc-big-en-fr,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-tc-big-en-pt,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-tc-big-fr-en,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-tc-big-sh-en,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-tc-big-tr-en,Helsinki-NLP,Translation,,,,
helsinki-nlp-opus-mt-zh-en,Helsinki-NLP,Translation,,,,
hfl-chinese-llama-2-7b,Meta,Text generation,,,,
hibou-b,Hibou,Embeddings,,,,
hibou-l,Hibou,Embeddings,,,,
hitz-latxa-llama-3.1-70b-instruct,Meta,Text generation,,,,
holy-fox-qwen3.5-0.8b-jp,Qwen (Alibaba),Chat completion,,,,
huggingfaceh4-zephyr-7b-beta,HuggingFace,Text generation,,,,
huggingfacem4-idefics2-8b,HuggingFace,Image text to text,,,,
huggingfacetb-smollm-1.7b,HuggingFace,Text generation,,,,
huggingfacetb-smollm-135m,HuggingFace,Text generation,,,,
huggingfacetb-smollm-135m-instruct,HuggingFace,Text generation,,,,
huggingfacetb-smollm-360m,HuggingFace,Text generation,,,,
huggingfacetb-smollm2-135m,HuggingFace,Text generation,,,,
huggingfacetb-smollm2-360m,HuggingFace,Text generation,,,,
huggingfacetb-smollm3-3b,HuggingFace,Chat completion,,,,
huggyllama-llama-7b,Meta,Text generation,,,,
hustvl-yolos-small,HuggingFace,Object detection,,,,
hustvl-yolos-tiny,HuggingFace,Object detection,,,,
ibm-granite-granite-3.3-8b-instruct,IBM,Chat completion,,,,
ibm-granite-granite-3.3-8b-instruct-fp8,IBM,Chat completion,,,,
ibm-granite-granite-4.0-1b,IBM,Chat completion,,,,
ibm-granite-granite-4.0-1b-speech,IBM,Automatic speech recognition,,,,
ibm-granite-granite-4.0-350m,IBM,Chat completion,,,,
ibm-granite-granite-4.0-h-350m,IBM,Chat completion,,,,
ibm-granite-granite-4.0-h-micro,IBM,Chat completion,,,,
ibm-granite-granite-4.0-h-small,IBM,Chat completion,,,,
ibm-granite-granite-4.0-h-small-fp8,IBM,Chat completion,,,,
ibm-granite-granite-4.0-h-tiny,IBM,Chat completion,,,,
ibm-granite-granite-4.0-micro,IBM,Chat completion,,,,
ibm-granite-granite-4.0-tiny-preview,IBM,Chat completion,,,,
ibm-granite-granite-4.1-2b-speech-gguf,IBM,Transcriptions,,,,
ibm-granite-granite-4.1-30b,IBM,Chat completion,,,,
ibm-granite-granite-4.1-30b-base,IBM,Chat completion,,,,
ibm-granite-granite-4.1-30b-fp8,IBM,Chat completion,,,,
ibm-granite-granite-4.1-3b,IBM,Chat completion,,,,
ibm-granite-granite-4.1-3b-base,IBM,Chat completion,,,,
ibm-granite-granite-4.1-3b-fp8,IBM,Chat completion,,,,
ibm-granite-granite-4.1-3b-gguf,IBM,Chat completion,,,,
ibm-granite-granite-4.1-8b,IBM,Chat completion,,,,
ibm-granite-granite-4.1-8b-base,IBM,Chat completion,,,,
ibm-granite-granite-4.1-8b-gguf,IBM,Chat completion,,,,
ibm-granite-granite-docling-258m,IBM,Chat completion,,,,
ibm-granite-granite-embedding-125m-english,IBM,Embeddings,,,,
ibm-granite-granite-embedding-english-r2,IBM,Embeddings,,,,
ibm-granite-granite-embedding-reranker-english-r2,IBM,Rerank,,,,
ibm-granite-granite-embedding-small-english-r2,IBM,Embeddings,,,,
ibm-granite-granite-guardian-4.0-3b-toxicity-ja,IBM,Chat completion,,,,
ibm-granite-granite-guardian-4.1-8b-gguf,IBM,Chat completion,,,,
ibm-granite-granite-speech-4.1-2b,IBM,Automatic speech recognition,,,,
ibm-granite-granite-vision-3.2-2b,IBM,Chat completion,,,,
ibm-granite-granite-vision-4.1-4b,IBM,Chat completion,,,,
inclusionai-qwen3-32b-aworld,Qwen (Alibaba),Chat completion,,,,
inclusionai-rubicon-preview,Inclusion AI,Chat completion,,,,
inclusionai-twinflow,Inclusion AI,Text to image,,,,
inclusionai-ui-venus-1.5-2b,Inclusion AI,Chat completion,,,,
inclusionai-ui-venus-1.5-8b,Inclusion AI,Chat completion,,,,
inclusionai-zwz-4b,Inclusion AI,Chat completion,,,,
inclusionai-zwz-8b,Inclusion AI,Chat completion,,,,
infermatic-magnum-v4-72b-fp8-dynamic,Infermatic,Text generation,,,,
infly-opencoder-8b-instruct,Infly,Text generation,,,,
intel-neural-chat-7b-v3-1,Intel,Text generation,,,,
intelligent-internet-ii-search-4b,Intelligent Internet,Chat completion,,,,
intelligent-internet-ii-search-cir-4b,Intelligent Internet,Chat completion,,,,
internlm-januscoder-14b,InternLM,Chat completion,,,,
internlm-januscoder-8b,InternLM,Chat completion,,,,
internlm-januscoderv-8b,InternLM,Chat completion,,,,
intfloat-e5-base,Intel,Sentence similarity,,,,
intfloat-e5-large,Intel,Sentence similarity,,,,
intfloat-e5-mistral-7b-instruct,Mistral AI,Feature extraction,,,,
intfloat-e5-small,Intel,Sentence similarity,,,,
intfloat-multilingual-e5-large,Intel,Embeddings,,,,
inworld-tts-1-5-max,Inworld AI,Text to speech,,,,
inworld-tts-1-5-mini,Inworld AI,Text to speech,,,,
is36e-detr-resnet-101-dc5-sku110k,Meta,Object detection,,,,
itsjayqz-gta5-artwork-diffusion,HuggingFace,Text to image,,,,
j-hartmann-emotion-english-distilroberta-base,HuggingFace,Text classification,,,,
jacktol-whisper-large-v3-finetuned-for-atc,Azure OpenAI,Automatic speech recognition,,,,
jamandteastudios-deepseek-r1-distill-qwen-32b-fp8-dynamic,DeepSeek,Text generation,,,,
janhq-jan-code-4b,Jan,Chat completion,,,,
janhq-jan-v1-4b,Jan,Chat completion,,,,
janhq-jan-v1-edge,Jan,Chat completion,,,,
janhq-jan-v2-vl-high,Jan,Chat completion,,,,
janhq-jan-v2-vl-low,Jan,Chat completion,,,,
janhq-jan-v2-vl-med,Jan,Chat completion,,,,
jbochi-madlad400-3b-mt,HuggingFace,Translation,,,,
jean-baptiste-camembert-ner,HuggingFace,Token classification,,,,
jean-baptiste-roberta-large-ner-english,HuggingFace,Token classification,,,,
jinaai-jina-code-embeddings-0.5b,Jina AI,Feature extraction,,,,
jinaai-jina-code-embeddings-1.5b,Jina AI,Feature extraction,,,,
jinaai-jina-embeddings-v2-small-en,Jina AI,Embeddings,,,,
jinaai-jina-reranker-v1-turbo-en,Jina AI,Embeddings,,,,
jinaai-readerlm-v2,Jina AI,Text generation,,,,
jinmang2-kpfbert,HuggingFace,Feature extraction,,,,
joeddav-xlm-roberta-large-xnli,HuggingFace,Zero shot classification,,,,
jonatasgrosman-wav2vec2-large-xlsr-53-english,Meta,Automatic speech recognition,,,,
jonathandinu-face-parsing,HuggingFace,Image segmentation,,,,
kblab-kb-whisper-large,Azure OpenAI,Automatic speech recognition,,,,
kblab-sentence-bert-swedish-cased,HuggingFace,Sentence similarity,,,,
kblab-wav2vec2-large-voxrex-swedish,Meta,Automatic speech recognition,,,,
kblueleaf-dantaggen-delta-rev2,HuggingFace,Text generation,,,,
kblueleaf-tipo-200m-ft2,HuggingFace,Text generation,,,,
kelly-mlflow-example,HuggingFace,,,,,
kelly-mlflow-example-05-07-25,HuggingFace,,,,,
kelly-mlflow-model,HuggingFace,,,,,
kentucky-open-science-melt-llama-2-7b-chat-v0.1,Meta,Text generation,,,,
klue-roberta-base,HuggingFace,Fill mask,,,,
koalaai-text-moderation,HuggingFace,Text classification,,,,
ku-nlp-deberta-v2-large-japanese-char-wwm,HuggingFace,Fill mask,,,,
kurakurai-luth-lfm2-1.2b,Liquid AI,Chat completion,,,,
kurakurai-luth-lfm2-350m,Liquid AI,Chat completion,,,,
kurakurai-luth-lfm2-700m,Liquid AI,Chat completion,,,,
latitudegames-wayfarer-12b,Latitude Games,Text generation,,,,
latitudegames-wayfarer-2-12b,Latitude Games,Chat completion,,,,
lemiao-decapoda-research-llama-7b-hf,Meta,Text generation,,,,
lemon07r-gemma-2-ataraxy-9b,Google,Text generation,,,,
lenguajenaturalai-leniachat-qwen2-1.5b-v0,Qwen (Alibaba),Text generation,,,,
leolm-leo-hessianai-70b-chat,Hessian AI,Text generation,,,,
lightonai-lightonocr-2-1b,Lighton,Chat completion,,,,
lilarest-gemma-4-31b-it-nvfp4-turbo,Google,Chat completion,,,,
liquidai-lfm2-1.2b-extract,Liquid AI,Chat completion,,,,
liquidai-lfm2-1.2b-tool,Liquid AI,Chat completion,,,,
liquidai-lfm2-2.6b,Liquid AI,Chat completion,,,,
liquidai-lfm2-2.6b-exp,Liquid AI,Chat completion,,,,
liquidai-lfm2-2.6b-transcript,Liquid AI,Chat completion,,,,
liquidai-lfm2-24b-a2b,Liquid AI,Chat completion,,,,
liquidai-lfm2-350m,Liquid AI,Chat completion,,,,
liquidai-lfm2-350m-extract,Liquid AI,Chat completion,,,,
liquidai-lfm2-350m-math,Liquid AI,Chat completion,,,,
liquidai-lfm2-350m-pii-extract-jp,Liquid AI,Chat completion,,,,
liquidai-lfm2-8b-a1b,Liquid AI,Chat completion,,,,
liquidai-lfm2.5-1.2b-instruct,Liquid AI,Chat completion,,,,
liquidai-lfm2.5-1.2b-thinking,Liquid AI,Chat completion,,,,
liquidai-lfm2.5-350m,Liquid AI,Chat completion,,,,
liquidai-lfm2.5-vl-1.6b,Liquid AI,Chat completion,,,,
livekit-turn-detector,LiveKit,Text generation,,,,
lizhuang144-flan-t5-base-vg-factual-sg,Google,Text generation,,,,
llava-hf-llama3-llava-next-8b-hf,Meta,Image text to text,,,,
llm360-k2-think,LLM360,Chat completion,,,,
llmrails-ember-v1,HuggingFace,Feature extraction,,,,
lm-provers-qed-nano,HuggingFace,Chat completion,,,,
localai-io-localai-functioncall-phi-4-v0.3,Microsoft,Text generation,,,,
localai-io-localai-llama3-8b-function-call-v0.2,Meta,Text generation,,,,
locoremind-locooperator-4b,LocoreMind,Chat completion,,,,
locoremind-locotrainer-4b,LocoreMind,Chat completion,,,,
lodestones-chroma1-base,Lodestone,Text to image,,,,
lodestones-chroma1-flash,Lodestone,Text to image,,,,
lodestones-chroma1-hd,Lodestone,Text to image,,,,
lordx64-qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled,Anthropic,Chat completion,,,,
luhua-chinese-pretrain-mrc-roberta-wwm-ext-large,HuggingFace,Question answering,,,,
